time,MAR_land,MAR_ice,RACMO_land,RACMO_ice
2015-01-01,0.000000,3.297175,0.000000,6.664740
2015-01-02,0.000000,2.946722,0.000000,5.723557
2015-01-03,0.000000,2.718387,0.000000,5.738729
2015-01-04,0.000000,2.654466,0.010611,5.719066
2015-01-05,0.000000,2.780459,0.002898,5.707611
2015-01-06,0.000000,3.242775,0.000000,5.707175
2015-01-07,0.000000,3.372462,-0.002448,5.680980
2015-01-08,0.000000,3.334255,0.002563,5.717616
2015-01-09,0.000000,3.407844,0.000000,5.659034
2015-01-10,0.000000,3.351352,0.000000,5.662628
2015-01-11,0.000204,3.053014,0.000000,5.642303
2015-01-12,0.000123,2.499508,-0.000089,5.652481
2015-01-13,0.000000,1.895907,0.000000,5.608728
2015-01-14,0.000160,1.518137,0.000000,5.647843
2015-01-15,0.001437,1.191172,0.000000,5.630106
2015-01-16,0.000475,1.146052,0.000089,5.592351
2015-01-17,0.000263,1.142949,0.000000,5.611616
2015-01-18,0.000653,1.135745,0.000000,5.588939
2015-01-19,0.000780,1.118939,0.000000,5.607602
2015-01-20,0.002325,1.108764,0.128089,5.566901
2015-01-21,0.000895,1.079094,0.000000,5.551459
2015-01-22,0.000450,1.018813,0.000000,5.534369
2015-01-23,0.000000,1.022619,0.000000,5.520473
2015-01-24,0.000000,1.023540,0.000000,5.516627
2015-01-25,0.000000,1.023103,0.000000,5.490150
2015-01-26,0.000000,0.922134,0.000000,5.503077
2015-01-27,0.000000,0.882263,0.000000,5.529709
2015-01-28,0.000000,0.937601,0.000000,5.482373
2015-01-29,0.000000,1.031892,0.000000,5.463013
2015-01-30,0.000000,1.040741,0.000000,5.461122
2015-01-31,0.000000,1.049120,0.000000,5.446306
2015-02-01,0.000000,1.041817,0.000000,5.425866
2015-02-02,0.000000,1.042166,0.000000,5.570199
2015-02-03,0.000000,1.041552,0.000000,5.519921
2015-02-04,0.000000,1.040425,0.000000,5.450750
2015-02-05,0.000478,0.951205,0.000000,5.393460
2015-02-06,0.001462,0.890301,0.000000,5.419404
2015-02-07,0.000000,0.891066,0.000000,5.376254
2015-02-08,0.000000,0.890383,0.000000,5.372085
2015-02-09,0.000000,0.879945,0.000000,5.364998
2015-02-10,0.000000,0.830759,0.000000,5.348737
2015-02-11,0.000000,0.825103,0.000000,5.359605
2015-02-12,0.000976,0.814379,0.000000,5.336337
2015-02-13,0.000394,0.949410,0.000000,5.339857
2015-02-14,0.000125,0.996476,0.000000,5.346737
2015-02-15,0.000000,0.996385,0.000000,5.314904
2015-02-16,0.000000,0.995660,0.000000,5.320030
2015-02-17,0.000000,0.995586,0.000000,5.295184
2015-02-18,0.000000,1.000831,0.000000,5.295666
2015-02-19,0.000000,1.017717,0.000000,5.304589
2015-02-20,0.000000,0.987456,0.000000,5.276806
2015-02-21,0.000000,0.822930,0.000000,5.271688
2015-02-22,0.000000,0.824427,0.000000,5.263434
2015-02-23,0.000000,0.826070,0.000000,5.247667
2015-02-24,0.000000,0.965983,0.000000,5.234691
2015-02-25,0.000000,1.080200,0.000000,5.220922
2015-02-26,0.000000,1.104053,0.000000,5.237223
2015-02-27,0.000000,1.102223,0.000000,5.207100
2015-02-28,0.000000,1.100922,0.000000,5.243932
2015-03-01,0.000000,1.100656,0.000000,5.207387
2015-03-02,0.000000,1.099250,0.000000,5.201155
2015-03-03,0.000000,1.096022,0.000000,5.187247
2015-03-04,0.000000,1.006182,0.000000,5.210130
2015-03-05,0.000000,1.020959,0.000000,5.177130
2015-03-06,0.000000,1.020477,0.000000,5.189429
2015-03-07,0.000000,1.003175,0.000000,5.181112
2015-03-08,0.001024,1.008767,0.000000,5.161040
2015-03-09,0.000386,1.012866,0.000000,5.159819
2015-03-10,0.002004,1.014883,0.000000,5.117188
2015-03-11,0.000580,1.038529,0.005930,5.134432
2015-03-12,0.000029,1.042000,0.000000,5.120478
2015-03-13,0.000888,1.038551,0.000745,5.105209
2015-03-14,0.000403,1.038141,0.417483,5.114610
2015-03-15,0.000392,1.039433,-0.002332,5.049465
2015-03-16,0.000462,1.054541,0.000000,5.093353
2015-03-17,0.000351,1.059886,0.002332,5.063708
2015-03-18,0.000000,1.048203,0.000000,5.072099
2015-03-19,0.000000,1.042860,0.000000,5.037952
2015-03-20,0.008145,1.040260,0.000000,5.066666
2015-03-21,0.003778,1.046017,0.002653,5.040894
2015-03-22,0.000000,1.056730,0.000000,5.045203
2015-03-23,0.000000,1.058140,0.000000,5.038498
2015-03-24,0.000000,1.053937,0.000000,5.058693
