time,MAR_land,RACMO_land
2015-01-01,3.253408,0.967103
2015-01-02,3.238803,0.951197
2015-01-03,3.222137,0.934614
2015-01-04,3.205597,0.932748
2015-01-05,3.189610,0.916647
2015-01-06,3.171905,0.908398
2015-01-07,3.158942,0.893404
2015-01-08,3.143905,0.883395
2015-01-09,3.128814,0.869362
2015-01-10,3.113780,0.895648
2015-01-11,3.096639,0.851211
2015-01-12,3.083679,0.838375
2015-01-13,3.068340,0.826583
2015-01-14,3.052955,0.823969
2015-01-15,3.037491,0.806264
2015-01-16,3.020005,0.802753
2015-01-17,3.006828,0.791953
2015-01-18,2.991596,0.778463
2015-01-19,2.976704,0.770602
2015-01-20,2.962148,0.768595
2015-01-21,2.945472,0.756274
2015-01-22,2.932780,0.737582
2015-01-23,2.918184,0.726089
2015-01-24,2.904049,0.726727
2015-01-25,2.890431,0.711859
2015-01-26,2.874857,0.701941
2015-01-27,2.863272,0.700149
2015-01-28,2.849589,0.679412
2015-01-29,2.835792,0.681764
2015-01-30,2.822045,0.667032
2015-01-31,2.808453,0.662472
2015-02-01,2.792883,0.654871
2015-02-02,2.781293,0.635193
2015-02-03,2.767936,0.631548
2015-02-04,2.754536,0.625081
2015-02-05,2.741381,0.611203
2015-02-06,2.726806,0.614675
2015-02-07,2.716369,0.582256
2015-02-08,2.704170,0.694583
2015-02-09,2.692185,0.572665
2015-02-10,2.680333,0.571045
2015-02-11,2.666527,0.566297
2015-02-12,2.656435,0.551673
2015-02-13,2.644550,0.546271
2015-02-14,2.632572,0.544769
2015-02-15,2.620457,0.536821
2015-02-16,2.606400,0.526141
2015-02-17,2.596078,0.523103
2015-02-18,2.583921,0.507770
2015-02-19,2.571852,0.502686
2015-02-20,2.560064,0.503569
2015-02-21,2.546699,0.492334
2015-02-22,2.536761,0.489253
2015-02-23,2.524903,0.478399
2015-02-24,2.513150,0.469837
2015-02-25,2.501569,0.465523
2015-02-26,2.488526,0.464873
2015-02-27,2.479112,0.451881
2015-02-28,2.468451,0.436497
2015-03-01,2.456675,0.436829
2015-03-02,2.448535,0.431212
2015-03-03,2.438588,0.425273
2015-03-04,2.428559,0.415807
2015-03-05,2.418602,0.410329
2015-03-06,2.406953,0.402679
2015-03-07,2.398466,0.400364
2015-03-08,2.388315,0.386547
2015-03-09,2.378427,0.397896
2015-03-10,2.368735,0.376667
2015-03-11,2.357714,0.371135
2015-03-12,2.349942,0.370845
2015-03-13,2.340500,0.365348
2015-03-14,2.331160,0.548283
2015-03-15,2.321786,0.359130
2015-03-16,2.310763,0.340791
2015-03-17,2.302969,0.338898
2015-03-18,2.293628,0.341117
2015-03-19,2.284413,0.330228
2015-03-20,2.275137,0.332078
2015-03-21,2.264326,0.336688
2015-03-22,2.256835,0.315199
2015-03-23,2.248069,0.315855
2015-03-24,2.239454,0.305555
2015-03-25,2.230841,0.305396
2015-03-26,2.220592,0.300869
2015-03-27,2.213507,0.297971
2015-03-28,2.204937,0.289055
2015-03-29,2.196333,0.289285
2015-03-30,2.187708,0.292269
2015-03-31,2.179233,0.281246
2015-04-01,2.169449,0.275541
2015-04-02,2.162896,0.274073
2015-04-03,2.154934,0.269052
2015-04-04,2.146984,0.267934
2015-04-05,2.139180,0.257250
2015-04-06,2.130104,0.265803
2015-04-07,2.124068,0.253810
2015-04-08,2.116424,0.255609
2015-04-09,2.108678,0.248981
2015-04-10,2.100871,0.241153
2015-04-11,2.091663,0.249455
2015-04-12,2.085444,0.242463
2015-04-13,2.077884,0.241728
2015-04-14,2.070168,0.239860
2015-04-15,2.062415,0.230621
2015-04-16,2.053184,2.534694
2015-04-17,2.047052,7.716406
2015-04-18,2.039526,5.280258
2015-04-19,2.031980,17.284082
2015-04-20,2.024349,26.030036
2015-04-21,2.015316,6.542207
2015-04-22,2.009117,0.325315
2015-04-23,2.001569,0.215049
2015-04-24,1.993960,0.220310
2015-04-25,1.986338,0.208671
2015-04-26,1.977366,0.249958
2015-04-27,1.971172,0.208390
2015-04-28,1.963809,0.205332
2015-04-29,1.956687,0.203159
2015-04-30,1.949603,0.202659
2015-05-01,1.941102,0.200033
2015-05-02,1.935257,0.200356
2015-05-03,1.928207,0.527326
2015-05-04,1.921430,1.173173
2015-05-05,1.914624,0.471597
2015-05-06,1.906495,0.191895
2015-05-07,1.901103,0.574252
2015-05-08,1.894428,3.471532
2015-05-09,1.887743,6.638529
2015-05-10,1.881009,5.848184
2015-05-11,1.872942,3.200267
2015-05-12,1.867491,11.618695
2015-05-13,1.860749,20.420944
2015-05-14,1.854043,28.157553
2015-05-15,1.847279,10.809980
2015-05-16,1.839360,5.992300
2015-05-17,1.834126,9.407221
2015-05-18,1.827617,12.475093
2015-05-19,1.821100,10.867871
2015-05-20,1.814796,4.041455
2015-05-21,1.807405,3.545883
2015-05-22,1.802622,3.136481
2015-05-23,1.796469,6.054049
2015-05-24,1.790254,6.767655
2015-05-25,1.784064,7.956669
2015-05-26,1.776552,10.623903
2015-05-27,1.771814,3.732541
2015-05-28,1.765932,9.151020
2015-05-29,1.759880,13.377910
2015-05-30,1.753816,14.604559
2015-05-31,1.747703,14.924059
2015-06-01,1.740440,20.976011
2015-06-02,1.735699,23.256093
2015-06-03,1.729830,33.873525
2015-06-04,1.868842,46.178668
2015-06-05,1.872893,49.077751
2015-06-06,1.713717,46.151861
2015-06-07,1.709383,55.962393
2015-06-08,1.787249,64.946783
2015-06-09,3.274962,57.420528
2015-06-10,2.849874,49.431378
2015-06-11,4.021943,55.836067
2015-06-12,2.712005,38.661264
2015-06-13,4.645048,57.716516
2015-06-14,2.192109,56.508367
2015-06-15,2.871222,59.653172
2015-06-16,3.009457,64.530800
2015-06-17,7.410817,49.395729
2015-06-18,5.889285,68.836455
2015-06-19,4.109910,77.071695
2015-06-20,3.881320,72.057355
2015-06-21,3.880153,72.622261
2015-06-22,3.602483,68.391720
2015-06-23,3.459030,65.088970
2015-06-24,7.296047,67.743869
2015-06-25,8.809798,73.036302
2015-06-26,2.520790,73.827115
2015-06-27,3.412503,71.790278
2015-06-28,5.634065,69.727472
2015-06-29,6.812462,71.444233
2015-06-30,7.625831,65.804493
2015-07-01,9.417197,65.212264
2015-07-02,13.251202,64.661091
2015-07-03,16.742504,65.417587
2015-07-04,18.567694,65.783228
2015-07-05,24.530888,63.675100
2015-07-06,29.216320,52.434268
2015-07-07,20.086151,45.986034
2015-07-08,22.790140,42.322897
2015-07-09,21.908256,36.638604
2015-07-10,21.380655,33.087104
2015-07-11,23.333284,20.025126
2015-07-12,23.643251,22.055087
2015-07-13,25.346694,23.317020
2015-07-14,28.466870,24.092769
2015-07-15,30.607963,24.630093
2015-07-16,32.352976,27.319983
2015-07-17,34.411423,29.166942
2015-07-18,38.158434,29.673046
2015-07-19,35.109697,34.039830
2015-07-20,33.756650,19.228454
2015-07-21,33.662931,14.211777
2015-07-22,31.460236,12.375031
2015-07-23,30.492551,13.812702
2015-07-24,28.984073,15.679138
2015-07-25,27.220030,16.413425
2015-07-26,26.144816,14.407193
2015-07-27,24.740671,10.273162
2015-07-28,23.956960,10.256682
2015-07-29,24.107499,10.613599
2015-07-30,22.582384,11.410983
2015-07-31,21.928675,23.653430
2015-08-01,23.452457,34.192127
2015-08-02,22.118664,12.711058
2015-08-03,21.216329,9.072606
2015-08-04,19.796439,6.371389
2015-08-05,18.148702,7.958093
2015-08-06,17.397504,8.258616
2015-08-07,18.299120,9.506437
2015-08-08,16.805569,8.029596
2015-08-09,15.426419,10.620943
2015-08-10,15.138759,16.775190
2015-08-11,14.500528,10.240615
2015-08-12,14.382948,7.800113
2015-08-13,13.629704,15.540029
2015-08-14,13.515540,13.212019
2015-08-15,14.443953,13.996083
2015-08-16,12.856419,19.761955
2015-08-17,13.045585,9.889779
2015-08-18,12.424899,4.610222
2015-08-19,12.245261,2.903395
2015-08-20,12.119689,7.647816
2015-08-21,12.821472,12.359543
2015-08-22,12.500138,6.755095
2015-08-23,11.880174,4.244905
2015-08-24,11.853755,9.720142
2015-08-25,11.679820,19.121446
2015-08-26,11.302338,11.852061
2015-08-27,11.452340,6.460559
2015-08-28,11.343439,2.459402
2015-08-29,11.052333,2.525775
2015-08-30,10.864112,3.022359
2015-08-31,11.013271,6.613701
2015-09-01,10.643289,2.990262
2015-09-02,10.531700,4.618627
2015-09-03,10.404400,2.406021
2015-09-04,10.280640,2.442870
2015-09-05,10.148677,2.427151
2015-09-06,10.000167,3.252850
2015-09-07,9.922967,10.982397
2015-09-08,10.345485,15.370843
2015-09-09,13.756650,34.823084
2015-09-10,13.180863,42.426863
2015-09-11,9.467580,6.855080
2015-09-12,9.062349,4.603280
2015-09-13,8.750331,2.228803
2015-09-14,8.531692,2.638949
2015-09-15,8.386919,2.203464
2015-09-16,8.291775,2.228662
2015-09-17,8.245621,2.695737
2015-09-18,8.213527,2.319503
2015-09-19,8.189011,3.374527
2015-09-20,8.674187,29.563071
2015-09-21,8.377714,13.241026
2015-09-22,8.211893,3.616540
2015-09-23,8.055783,4.941116
2015-09-24,8.001273,2.806406
2015-09-25,9.966605,3.227228
2015-09-26,7.818555,3.011262
2015-09-27,7.802726,3.693802
2015-09-28,8.108436,3.540812
2015-09-29,7.703631,3.755491
2015-09-30,8.684361,4.333405
