index,id,lon,lat,x,y,elev,Z2012_sector,Z2012_sector_dist,M2019_ID,M2019_ID_dist,M2019_basin,M2019_region,M2020_gate,M2020_gate_dist,B2015_name,B2015_dist,domain,upstream,coast_id,coast_lon,coast_lat,coast_x,coast_y
0,92946,-32.554,68.638,504350,-2285150,-1,33,2209,250,368,NORDFJORD,CE,188,6383,Styrtegletsjer,9615,land,False,-1,,,-1,-1
1,92948,-32.516,68.634,505950,-2285250,22,33,908,250,1931,NORDFJORD,CE,188,5350,Styrtegletsjer,8818,land,False,-1,,,-1,-1
2,92955,-32.567,68.638,503850,-2285350,-1,33,2746,250,0,NORDFJORD,CE,188,6895,Nordfjord Gletsjer,9752,land,False,-1,,,-1,-1
3,92958,-32.507,68.633,506350,-2285350,-1,33,858,251,1702,STYRTE,CE,188,5200,Styrtegletsjer,8720,land,False,-1,,,-1,-1
4,92974,-32.465,68.628,508150,-2285550,14,33,1989,251,0,STYRTE,CE,188,4669,Styrtegletsjer,8277,land,False,-1,,,-1,-1
5,93033,-32.588,68.628,503250,-2286550,2,33,3810,250,90,NORDFJORD,CE,188,8136,Nordfjord Gletsjer,10507,land,False,-1,,,-1,-1
6,93038,-32.462,68.617,508550,-2286650,5,33,2998,251,0,STYRTE,CE,188,5566,Styrtegletsjer,9265,land,False,-1,,,-1,-1
7,93043,-32.467,68.617,508350,-2286750,1,33,2938,251,0,STYRTE,CE,188,5729,Styrtegletsjer,9402,land,False,-1,,,-1,-1
8,93062,-32.583,68.623,503550,-2287050,-1,33,3870,250,643,NORDFJORD,CE,188,8277,Nordfjord Gletsjer,11088,land,False,-1,,,-1,-1
9,93078,-32.575,68.621,503950,-2287250,-1,33,3725,250,1077,NORDFJORD,CE,188,8162,Nordfjord Gletsjer,11448,land,False,-1,,,-1,-1
10,93162,-32.463,68.599,508950,-2288650,-1,33,4840,251,1442,STYRTE,CE,188,7393,Styrtegletsjer,11186,land,False,-1,,,-1,-1
11,93184,-32.573,68.602,504450,-2289250,-1,33,5159,250,1555,NORDFJORD,CE,188,9519,Styrtegletsjer,13059,land,False,-1,,,-1,-1
12,93185,-32.444,68.592,509850,-2289250,-1,33,5836,251,2455,STYRTE,CE,188,7869,Styrtegletsjer,11719,land,False,-1,,,-1,-1
13,93215,-32.426,68.585,510750,-2289850,-1,33,6857,256,2551,ICE_CAPS_CE,CE,188,8451,Styrtegletsjer,12324,land,False,-1,,,-1,-1
14,93228,-32.561,68.594,505150,-2290050,-1,33,5704,250,2514,NORDFJORD,CE,188,9914,Styrtegletsjer,13502,land,False,-1,,,-1,-1
15,93231,-32.418,68.582,511150,-2290150,17,33,7343,256,2327,ICE_CAPS_CE,CE,188,8767,Styrtegletsjer,12647,land,False,-1,,,-1,-1
16,93255,-32.418,68.577,511250,-2290650,-1,33,7795,256,2197,ICE_CAPS_CE,CE,188,9272,Styrtegletsjer,13153,land,False,-1,,,-1,-1
17,93300,-32.418,68.569,511450,-2291550,25,33,7626,256,1966,ICE_CAPS_CE,CE,188,10185,Styrtegletsjer,14067,land,False,-1,,,-1,-1
18,93370,-32.649,68.576,502050,-2292850,43,33,6454,250,2956,NORDFJORD,CE,194,12358,Nordfjord Gletsjer,16103,land,False,-1,,,-1,-1
19,93388,-32.612,68.571,503650,-2293050,23,33,7882,250,4119,NORDFJORD,CE,194,13184,Nordfjord Gletsjer,16708,land,False,-1,,,-1,-1
20,93414,-32.754,68.579,497750,-2293350,-98,33,3915,102,0,KANGERLUSSUAQ,CE,194,10034,Nordfjord Gletsjer,16258,land,False,-1,,,-1,-1
21,93416,-32.664,68.572,501550,-2293350,12,33,6407,250,3222,NORDFJORD,CE,194,11662,Nordfjord Gletsjer,16496,land,False,-1,,,-1,-1
22,93430,-32.407,68.551,512350,-2293450,17,33,6552,256,16,ICE_CAPS_CE,CE,191,10256,Styrtegletsjer,16055,land,False,-1,,,-1,-1
23,93439,-32.722,68.575,499150,-2293550,12,33,5160,102,1130,KANGERLUSSUAQ,CE,194,10321,Nordfjord Gletsjer,16443,land,False,-1,,,-1,-1
24,93453,-32.402,68.547,512650,-2293750,29,33,6271,256,268,ICE_CAPS_CE,CE,191,10029,Styrtegletsjer,16394,land,False,-1,,,-1,-1
25,93480,-32.791,68.573,496450,-2294350,-645,33,2549,102,0,KANGERLUSSUAQ,CE,194,8770,Kangerlussuaq Gletsjer,16284,land,False,-1,,,-1,-1
26,93491,-32.398,68.541,512950,-2294450,36,33,6077,256,989,ICE_CAPS_CE,CE,191,9930,Courtauld Gletsjer,16645,land,False,-1,,,-1,-1
27,93525,-32.395,68.533,513250,-2295250,18,33,5961,252,1805,COURTAULD,CE,191,9926,Courtauld Gletsjer,16882,land,False,-1,,,-1,-1
28,93545,-32.830,68.565,495050,-2295550,-643,33,1704,102,0,KANGERLUSSUAQ,CE,194,7342,Kangerlussuaq Gletsjer,15836,land,False,-1,,,-1,-1
29,93590,-32.393,68.521,513650,-2296550,-25,33,5858,252,1299,COURTAULD,CE,191,10153,Courtauld Gletsjer,17415,land,False,-1,,,-1,-1
30,93598,-32.848,68.556,494550,-2296750,-204,33,1877,102,0,KANGERLUSSUAQ,CE,194,6051,Kangerlussuaq Gletsjer,16241,land,False,-1,,,-1,-1
31,93611,-32.188,68.501,522350,-2296950,4,33,3346,252,0,COURTAULD,CE,191,5389,Courtauld Gletsjer,12815,land,False,-1,,,-1,-1
32,93615,-32.196,68.500,522050,-2297050,-3,33,3138,252,0,COURTAULD,CE,191,5532,Courtauld Gletsjer,13010,land,False,-1,,,-1,-1
33,93622,-32.843,68.552,494850,-2297150,-91,33,2330,97,0,UNNAMED_KANGER_E,CE,194,5755,Kangerlussuaq Gletsjer,16734,land,False,-1,,,-1,-1
34,93623,-32.227,68.502,520750,-2297150,-1,33,2229,252,0,COURTAULD,CE,191,5982,Courtauld Gletsjer,13605,land,False,-1,,,-1,-1
35,93633,-32.230,68.501,520650,-2297250,-1,33,2252,252,95,COURTAULD,CE,191,6106,Courtauld Gletsjer,13738,land,False,-1,,,-1,-1
36,93640,-32.383,68.513,514250,-2297350,-8,33,5505,252,1250,COURTAULD,CE,191,10090,Courtauld Gletsjer,17538,land,False,-1,,,-1,-1
37,93659,-32.817,68.545,496050,-2297650,-45,33,3398,97,0,UNNAMED_KANGER_E,CE,194,5452,Kangerlussuaq Gletsjer,17956,land,False,-1,,,-1,-1
38,93678,-32.189,68.491,522550,-2297950,-1,33,4070,256,32,ICE_CAPS_CE,CE,191,6365,Courtauld Gletsjer,13705,land,False,-1,,,-1,-1
39,93684,-32.237,68.494,520550,-2298050,32,33,2908,252,710,COURTAULD,CE,191,6899,Courtauld Gletsjer,14506,land,False,-1,,,-1,-1
40,93708,-32.369,68.502,515050,-2298450,38,33,5316,252,2157,COURTAULD,CE,191,10184,Courtauld Gletsjer,17812,land,False,-1,,,-1,-1
41,93721,-32.186,68.485,522850,-2298650,34,33,4758,256,0,ICE_CAPS_CE,CE,191,7051,Courtauld Gletsjer,14296,land,False,-1,,,-1,-1
42,93791,-32.369,68.494,515250,-2299250,-8,33,5667,252,2685,COURTAULD,CE,191,10618,Kælvegletsjer,17246,land,False,-1,,,-1,-1
43,93804,-32.700,68.519,501350,-2299450,-1,33,8204,256,2448,ICE_CAPS_CE,CE,194,7274,Kælvegletsjer,21665,land,False,-1,,,-1,-1
44,93836,-32.790,68.524,497650,-2299750,2,33,4523,97,1706,UNNAMED_KANGER_E,CE,194,4193,Apuseeq Qinnilik,20457,land,False,-1,,,-1,-1
45,93838,-32.771,68.522,498450,-2299750,9,33,5305,256,1649,ICE_CAPS_CE,CE,194,4739,Kangerlussuaq Gletsjer,21145,land,False,-1,,,-1,-1
46,93847,-32.786,68.523,497850,-2299850,5,33,4697,256,1742,ICE_CAPS_CE,CE,194,4247,Apuseeq Qinnilik,20679,land,False,-1,,,-1,-1
47,93853,-32.190,68.473,522950,-2299950,-1,33,5790,256,1138,ICE_CAPS_CE,CE,191,8350,Courtauld Gletsjer,15532,land,False,-1,,,-1,-1
48,93872,-32.368,68.484,515550,-2300350,-1,33,6280,252,3388,COURTAULD,CE,191,11270,Kælvegletsjer,16159,land,False,-1,,,-1,-1
49,93887,-32.366,68.482,515650,-2300550,32,33,6380,252,3520,COURTAULD,CE,191,11370,Kælvegletsjer,15965,land,False,-1,,,-1,-1
50,93898,-32.192,68.467,523050,-2300650,-1,33,6413,256,819,ICE_CAPS_CE,CE,191,9050,Courtauld Gletsjer,16192,land,False,-1,,,-1,-1
51,93909,-32.254,68.471,520450,-2300750,-1,33,5471,256,2858,ICE_CAPS_CE,CE,191,9498,Kælvegletsjer,16745,land,False,-1,,,-1,-1
52,93916,-32.641,68.502,504150,-2300850,3,33,10834,256,486,ICE_CAPS_CE,CE,194,9399,Kælvegletsjer,18882,land,False,-1,,,-1,-1
53,93952,-32.191,68.460,523250,-2301450,-1,33,7190,256,32,ICE_CAPS_CE,CE,191,9850,Courtauld Gletsjer,16934,land,False,-1,,,-1,-1
54,93970,-32.645,68.495,504150,-2301650,-1,33,10843,256,0,ICE_CAPS_CE,CE,194,9249,Kælvegletsjer,18224,land,False,-1,,,-1,-1
