index,id,coast_id,coast_lat,coast_lon,coast_x,coast_y,domain,elev,lat,lon,upstream,x,y
0,131674,-1,,,-1,-1,land,-383,65.154,-41.088,False,186450,-2726450
1,131703,-1,,,-1,-1,land,-294,65.149,-41.124,False,184750,-2727050
2,131713,-1,,,-1,-1,land,-176,65.146,-41.079,False,186950,-2727250
3,131746,-1,,,-1,-1,land,-1,65.141,-41.073,False,187250,-2727850
4,131751,-1,,,-1,-1,land,-1,65.142,-41.142,False,183950,-2727950
5,131825,-1,,,-1,-1,land,-6,65.134,-41.156,False,183350,-2728950
6,131826,-1,,,-1,-1,land,-1,65.131,-41.068,False,187550,-2728950
7,131869,-1,,,-1,-1,land,1,65.128,-41.155,False,183450,-2729550
8,131883,-1,,,-1,-1,land,-24,65.124,-41.063,False,187850,-2729750
9,131918,-1,,,-1,-1,land,5,65.113,-40.788,False,201050,-2730050
10,131920,-1,,,-1,-1,land,3,65.113,-40.780,False,201450,-2730050
11,131931,-1,,,-1,-1,land,8,65.114,-40.853,False,197950,-2730150
12,131972,-1,,,-1,-1,land,-1,65.120,-41.142,False,184150,-2730450
13,132011,-1,,,-1,-1,land,6,65.108,-40.835,False,198850,-2730750
14,132012,-1,,,-1,-1,land,-1,65.106,-40.756,False,202650,-2730750
15,132067,-1,,,-1,-1,land,-1,65.112,-41.130,False,184750,-2731350
16,132069,-1,,,-1,-1,land,5,65.100,-40.751,False,202950,-2731350
17,132074,-1,,,-1,-1,land,3,65.101,-40.815,False,199850,-2731450
18,132089,-1,,,-1,-1,land,-1,65.097,-40.747,False,203150,-2731650
19,132106,-1,,,-1,-1,land,26,65.104,-41.016,False,190250,-2731850
20,132130,-1,,,-1,-1,land,84,65.101,-40.977,False,192150,-2732050
21,132159,-1,,,-1,-1,land,12,65.095,-40.835,False,198950,-2732250
22,132205,-1,,,-1,-1,land,-1,65.095,-40.961,False,192950,-2732650
23,132223,-1,,,-1,-1,land,11,65.093,-40.926,False,194650,-2732750
24,132230,-1,,,-1,-1,land,15,65.092,-40.920,False,194950,-2732850
25,132251,-1,,,-1,-1,land,-1,65.096,-41.124,False,185150,-2733050
26,132253,-1,,,-1,-1,land,3,65.085,-40.745,False,203350,-2733050
27,132262,-1,,,-1,-1,land,24,65.089,-40.908,False,195550,-2733150
28,132303,-1,,,-1,-1,land,5,65.085,-40.881,False,196850,-2733550
29,132343,-1,,,-1,-1,land,16,65.088,-41.107,False,186050,-2733950
30,132489,-1,,,-1,-1,land,206,65.078,-41.111,False,185950,-2735050
31,132821,-1,,,-1,-1,land,-1,65.054,-41.064,False,188350,-2737650
32,132918,-1,,,-1,-1,land,21,65.048,-41.057,False,188750,-2738350
33,132992,-1,,,-1,-1,land,-3,65.042,-41.049,False,189150,-2738950
34,133084,-1,,,-1,-1,land,3,65.033,-41.030,False,190150,-2739950
35,133172,-1,,,-1,-1,land,1,65.021,-41.009,False,191250,-2741150
36,133240,-1,,,-1,-1,land,-1,65.014,-41.004,False,191550,-2741950
37,133398,-1,,,-1,-1,land,-1,64.999,-41.013,False,191250,-2743750
38,133408,-1,,,-1,-1,land,-1,64.996,-40.992,False,192250,-2743950
39,133426,-1,,,-1,-1,land,161,64.995,-41.011,False,191350,-2744150
40,133484,-1,,,-1,-1,land,-423,64.991,-41.158,False,184350,-2745050
41,133492,-1,,,-1,-1,land,-10,64.989,-41.123,False,186050,-2745150
42,133523,-1,,,-1,-1,land,-432,64.988,-41.163,False,184150,-2745450
43,133549,-1,,,-1,-1,land,-19,64.984,-41.111,False,186650,-2745750
44,133572,-1,,,-1,-1,land,102,64.978,-40.974,False,193250,-2745950
45,133591,-1,,,-1,-1,land,-1,64.979,-41.085,False,187950,-2746150
46,133600,-1,,,-1,-1,land,-1,64.978,-41.074,False,188450,-2746250
47,133646,-1,,,-1,-1,land,-372,64.976,-41.171,False,183850,-2746850
48,133654,-1,,,-1,-1,land,2,64.971,-41.042,False,190050,-2746950
49,133691,-1,,,-1,-1,land,6,64.965,-40.968,False,193650,-2747350
50,133732,-1,,,-1,-1,land,-22,64.962,-41.021,False,191150,-2747950
51,133770,-1,,,-1,-1,land,-206,64.962,-41.175,False,183750,-2748450
52,133843,-1,,,-1,-1,land,-143,64.953,-41.179,False,183650,-2749450
53,133896,-1,,,-1,-1,land,-30,64.946,-41.165,False,184350,-2750150
54,133898,-1,,,-1,-1,land,3,64.934,-40.755,False,204150,-2750150
55,133930,-1,,,-1,-1,land,-1,64.931,-40.789,False,202550,-2750650
56,133947,-1,,,-1,-1,land,-3,64.929,-40.816,False,201250,-2750950
57,133950,-1,,,-1,-1,land,11,64.938,-41.131,False,186050,-2751050
58,133959,-1,,,-1,-1,land,8,64.923,-40.719,False,205950,-2751250
59,133977,-1,,,-1,-1,land,10,64.920,-40.713,False,206250,-2751550
60,134006,-1,,,-1,-1,land,-1,64.920,-40.855,False,199450,-2752050
61,134048,-1,,,-1,-1,land,11,64.920,-41.109,False,187250,-2752950
62,134065,-1,,,-1,-1,land,-1,64.904,-40.677,False,208150,-2753250
63,134110,-1,,,-1,-1,land,-1,64.895,-40.641,False,209950,-2754150
64,134116,-1,,,-1,-1,land,-1,64.908,-41.094,False,188050,-2754250
65,134136,-1,,,-1,-1,land,10,64.904,-41.091,False,188250,-2754750
66,134148,-1,,,-1,-1,land,-1,64.888,-40.632,False,210450,-2754950
67,134172,-1,,,-1,-1,land,-1,64.880,-40.492,False,217250,-2755350
68,134175,-1,,,-1,-1,land,-1,64.883,-40.616,False,211250,-2755450
69,134181,-1,,,-1,-1,land,14,64.882,-40.624,False,210850,-2755550
70,134187,-1,,,-1,-1,land,-8,64.888,-40.842,False,200350,-2755650
71,134217,-1,,,-1,-1,land,-1,64.891,-41.074,False,189150,-2756150
72,134235,-1,,,-1,-1,land,-1,64.871,-40.583,False,212950,-2756650
73,134250,-1,,,-1,-1,land,-1,64.876,-40.835,False,200750,-2757050
74,134254,-1,,,-1,-1,land,7,64.880,-41.032,False,191250,-2757250
75,134303,-1,,,-1,-1,land,-2,64.866,-40.837,False,200750,-2758150
