fjord,MAR_land (m3),MAR_ice (m3),MAR_total (m3),RACMO_land (m3),RACMO_ice (m3),RACMO_total (m3)
1,506191855.34,453434243.777,959626099.117,211658908.378,601206371.816,812865280.193
2,223088016.948,,223088016.948,355038772.026,,355038772.026
3,201429097.246,67232017.596,268661114.842,368009628.048,105714609.961,473724238.009
4,80882128.627,75185394.445,156067523.073,237162126.96,43030628.577,280192755.537
5,597630178.961,3566768835.727,4164399014.688,466859663.971,3862583765.654,4329443429.626
6,54084382.163,31862931.984,85947314.147,83942226.202,39326864.982,123269091.183
7,147992873.075,35993604.234,183986477.309,176962385.699,79765669.175,256728054.874
8,333706544.669,1678086734.066,2011793278.735,230736751.183,1768630073.334,1999366824.516
9,237037322.454,1608016094.22,1845053416.673,116376141.364,1625044783.922,1741420925.286
10,41720566.303,221111070.071,262831636.374,86073006.188,211880892.044,297953898.232
11,74911214.483,101060018.099,175971232.581,65913964.428,104497469.228,170411433.656
12,238677997.715,1163923011.36,1402601009.075,82350878.809,1192100195.773,1274451074.582
13,400095483.679,1569422646.369,1969518130.047,61553708.214,1825123585.162,1886677293.375
14,96406802.122,404761886.473,501168688.595,86065171.937,521381092.723,607446264.66
15,618698448.858,4259999262.01,4878697710.868,391263081.523,4631238170.047,5022501251.57
16,254693456.819,288918727.563,543612184.381,102515502.321,255401344.927,357916847.247
17,168005447.482,45727229.894,213732677.376,175222893.496,50614428.804,225837322.301
18,1377022421.491,7099485503.835,8476507925.326,621827817.684,6916599499.421,7538427317.105
19,260614298.189,2473441079.0,2734055377.188,10155.162,1777490924.642,1777501079.804
20,483992371.532,2183394366.207,2667386737.74,74086258.902,1382366649.306,1456452908.208
21,222480488.488,927872979.391,1150353467.879,42472451.52,507018446.179,549490897.699
22,821165929.92,1744030063.417,2565195993.337,59986747.031,1016569038.015,1076555785.046
23,755846647.171,736008221.399,1491854868.57,268410015.567,524440153.359,792850168.927
24,711672950.362,2605361774.066,3317034724.428,223992401.242,1674152799.782,1898145201.024
25,339952964.031,2384582489.775,2724535453.807,26416513.498,1678386388.343,1704802901.841
26,109942954.059,173330089.661,283273043.72,77436186.624,217846520.859,295282707.483
27,193699219.692,107037379.688,300736599.379,187101330.71,131241064.752,318342395.462
28,501139242.766,1403776607.357,1904915850.123,506906313.304,1451321654.129,1958227967.434
29,1759037184.495,1501501597.413,3260538781.908,2209043813.057,1407676553.176,3616720366.234
30,1725615274.81,10726681536.927,12452296811.737,2471024685.496,9809421844.821,12280446530.317
31,459859830.682,3702731832.156,4162591662.837,416294324.156,2352640321.665,2768934645.821
32,271332926.531,1149647041.192,1420979967.723,174222932.676,918574056.876,1092796989.552
33,725342236.854,6399303302.379,7124645539.233,135744261.575,3961806858.132,4097551119.708
34,224135724.447,575635907.647,799771632.094,102874911.028,357364878.998,460239790.026
35,282199692.182,4119147479.814,4401347171.996,159546842.087,2458552133.871,2618098975.958
36,950449408.289,3344061520.541,4294510928.83,328413775.968,2717973075.969,3046386851.937
37,1702164224.949,1142997158.575,2845161383.524,1738437903.855,1157037627.865,2895475531.72
38,468529448.671,8981371.705,477510820.376,349259915.526,7638866.456,356898781.981
39,900016180.986,1200409273.164,2100425454.15,720286523.228,1035350408.172,1755636931.4
40,2080566443.474,3680226344.915,5760792788.388,1637520207.552,3878974971.878,5516495179.43
41,737221986.0,2667571013.267,3404792999.267,205695212.4,2263008127.265,2468703339.665
42,335241623.992,2794680726.647,3129922350.639,118932619.853,1836707534.663,1955640154.516
43,349233866.652,2524794970.775,2874028837.427,140637935.871,1797476482.668,1938114418.539
44,114961407.477,23607294.117,138568701.594,53720611.62,18797310.818,72517922.438
45,306758140.641,3534982554.574,3841740695.215,155114876.88,2428832709.51,2583947586.39
46,282790383.408,1590154192.38,1872944575.788,183468325.104,1047597679.763,1231066004.867
47,168367603.571,907653941.315,1076021544.885,94704833.543,653959874.385,748664707.928
48,435734949.226,1181564271.464,1617299220.689,211415852.062,890280495.377,1101696347.439
49,455811048.766,1575192155.962,2031003204.728,243824722.888,1192587552.063,1436412274.952
50,238766741.66,1339734548.817,1578501290.477,113975796.885,1114811497.371,1228787294.256
51,576089844.762,582137529.627,1158227374.389,361824355.331,406086916.614,767911271.944
52,1185211118.54,2972844118.777,4158055237.317,766143311.512,2483976998.54,3250120310.052
