fjord,mean annual discharge (m3)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,136450114.26
16,0.0
17,0.0
18,867567405.525
19,890436475.422
20,0.0
21,0.0
22,0.0
23,0.0
24,83688109.334
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,63480406.709
31,1347319698.737
32,17312765.455
33,1321602579.325
34,0.0
35,796491517.552
36,578588561.65
37,12787682.737
38,9327746.782
39,41540968.707
40,749701127.089
41,0.0
42,865630380.237
43,246904790.439
44,0.0
45,1493143525.74
46,594782296.155
47,495818996.053
48,246435527.762
49,0.0
50,223608029.368
51,0.0
52,211890709.63
