fjord,MAR_WIN (m3),MAR_SPR (m3),MAR_SUM (m3),MAR_AUT (m3),RACMO_WIN (m3),RACMO_SPR (m3),RACMO_SUM (m3),RACMO_AUT (m3)
1,35521879.363,23810531.455,764016864.987,136276823.313,8628356.874,35172162.697,699120459.107,69944301.516
2,29476146.637,25520401.901,122964942.534,45126525.876,9084861.59,56675222.433,244701375.27,44577312.733
3,25979266.944,28393499.739,170799788.557,43488559.601,12147884.047,70614956.995,330128500.798,60832896.169
4,13723212.689,17416285.891,101139624.19,23788400.302,8165792.2,34818108.561,186689041.35,50519813.426
5,63938369.364,110749314.718,3605192442.19,384518888.415,16342054.525,99448277.766,3862237872.499,351415224.835
6,8694995.76,9504616.62,51275403.181,16472298.586,2452152.718,10543666.994,89903926.754,20369344.717
7,19720992.033,19493685.936,106458319.25,38313480.09,7091322.301,26552652.561,185619729.669,37464350.342
8,40807469.848,77387472.887,1592394343.327,301203992.673,10583938.068,53972337.606,1704592629.78,230217919.062
9,27947433.732,85851960.152,1504748675.146,226505347.644,6522457.859,59725596.948,1470858173.349,204314697.13
10,7573134.061,20333171.076,192972869.821,41952461.414,4017654.708,19345051.308,229093448.826,45497743.39
11,10616111.027,17594426.102,114336226.322,33424469.13,3148349.247,17241240.977,121608770.118,28413073.313
12,22811024.632,43753912.508,1192255665.057,143780406.877,5016583.187,32149964.655,1132650776.65,104633750.091
13,35205892.134,73983269.117,1591655756.158,268673212.639,7753910.993,44634256.883,1645882367.34,188406758.16
14,13822227.262,33097961.733,365037709.968,89210789.631,3475025.315,37762800.618,477554565.335,88653873.393
15,66874879.308,158100209.58,4160541297.024,493181324.957,17604796.02,121419029.324,4558796202.28,324681223.945
16,23148247.997,35912599.309,376558718.78,107992618.295,5167675.238,28614838.982,276241867.413,47892465.613
17,17715936.643,17761110.693,130917796.422,47337833.618,5741258.504,27430477.062,160636720.631,32028866.104
18,129526548.422,337296040.255,7097718922.917,911966413.732,41902392.908,296818781.685,6596416470.707,603289671.805
19,20583047.929,106248390.958,2182021833.053,425202105.249,31696254.634,57426373.682,1487961059.345,200417392.143
20,30863941.419,109625359.288,2144940444.144,381956992.888,33463899.135,59859071.194,1193391044.156,169738893.723
21,16182158.573,56338437.427,880085608.957,197747262.922,27230376.614,34353675.608,399726282.067,88180563.41
22,44696592.962,80407153.492,1985710161.6,454382085.283,47351554.387,64309712.175,814470962.175,150423556.308
23,47986713.585,74381343.414,1080470993.149,289015818.422,19553109.903,67523829.915,583709387.098,122063842.011
24,50997407.795,112112299.912,2783112284.114,370812732.607,22989403.359,69455149.937,1638509306.112,167191341.615
25,26280658.57,87855336.996,2329094741.219,281304717.022,9280101.312,41260584.384,1498804339.697,155457876.447
26,10142587.325,17001932.728,205643530.564,50484993.103,3396056.095,24167424.954,226653080.705,41066145.729
27,20054314.61,33032735.384,188815875.137,58833674.248,6312214.898,37661338.869,228269940.756,46098900.939
28,52424416.927,112137869.578,1515232600.808,225120962.811,23137942.274,139350866.659,1590977386.524,204761771.977
29,213847876.051,339804936.899,2119347759.813,587538209.146,94025193.051,379826377.908,2646225728.035,496643067.239
30,215493408.599,773312135.409,10257645561.414,1205845706.316,144153045.533,846001033.027,10210098421.463,1080194030.294
31,58629440.01,236855730.493,3393543535.718,473562956.615,103922001.009,171495030.056,2157990573.306,335527041.45
32,22935402.236,71339432.573,1151328137.38,175376995.534,20682391.375,40909198.107,924755120.617,106450279.453
33,40755121.177,259686814.009,5852726114.976,971477489.071,178527870.772,250303411.129,3106658573.349,562061264.458
34,15213308.44,36773087.875,614063285.781,133721949.997,9148192.635,19257446.166,364815142.393,67019008.833
35,23922091.256,183590756.6,3697605189.487,496229134.654,90894940.197,146498926.044,2035515774.378,345189335.34
36,55760733.677,103160117.1,3679317675.717,456272402.337,53362782.513,134344908.841,2531105722.178,327573438.405
37,148793554.644,152287973.51,2112597171.446,431482683.923,57726317.572,249235625.549,2278049724.899,310463863.701
38,36075538.961,29639980.961,326453710.458,85341589.995,9317412.184,51819238.253,257514968.189,38247163.356
39,68214591.521,85414710.574,1682667417.761,264128734.293,24847803.009,114986130.18,1424046116.874,191756881.336
40,186349467.37,330289262.461,4501533481.517,742620577.041,70885102.147,331462509.333,4538198452.182,575949115.768
41,46280478.626,96088361.806,2846967490.869,415456667.965,64841521.715,112383600.111,2024656880.06,266821337.779
42,21101158.472,96419748.073,2592493160.607,419908283.487,28709215.396,52190286.198,1657689260.221,217051392.701
43,21564108.507,96148856.062,2399414671.659,356901201.199,31509341.09,87847140.056,1572900672.666,245857264.727
44,8836060.833,10186590.707,94904606.396,24641443.659,2374122.632,6004102.562,53662827.629,10476869.616
45,24682144.539,113793170.855,3316636122.468,386629257.352,46981549.428,145355114.736,2090382917.507,301228004.719
46,24403815.942,80566571.722,1548613010.863,219361177.261,23628324.655,60454813.173,1002883779.014,144099088.024
47,15087254.227,33279366.344,917860911.604,109794012.71,14255613.775,27548915.944,626773875.229,80086302.979
48,31990514.665,54782917.834,1329779201.524,200746586.667,29125209.813,76208821.747,858673267.165,137689048.714
49,31591789.137,76771257.788,1653229673.021,269410484.782,23992311.128,90433266.843,1130389565.236,191597131.745
50,18153160.94,49075972.122,1296048778.675,215223378.739,19563060.66,52014247.597,1003455793.912,153754192.086
51,41055433.528,53657613.976,886696675.442,176817651.443,22151101.795,56608592.878,603443722.487,85707854.784
52,86569184.022,134169165.832,3344821154.819,592495732.644,71523948.81,210609685.561,2557775996.726,410210678.955
