Date,Discharge (Gt/yr),Error (Gt/yr)
2015-01-01,4.70384,0.10712
2015-01-02,4.70456,0.10655
2015-01-03,4.70528,0.10666
2015-01-04,4.706,0.10745
2015-01-05,4.70672,0.10891
2015-01-06,4.70744,0.111
2015-01-07,4.70816,0.11369
2015-01-08,4.70888,0.11694
2015-01-09,4.7096,0.12071
2015-01-10,4.71032,0.12495
2015-01-11,4.71104,0.12961
2015-01-12,4.71177,0.13464
2015-01-13,4.71249,0.14002
2015-01-14,4.71321,0.14569
2015-01-15,4.71393,0.15164
2015-01-16,4.71002,0.14213
2015-01-17,4.70611,0.1334
2015-01-18,4.7022,0.12561
2015-01-19,4.69829,0.11893
2015-01-20,4.69438,0.11357
2015-01-21,4.69047,0.10971
2015-01-22,4.68656,0.10752
2015-01-23,4.68265,0.10711
2015-01-24,4.67874,0.10849
2015-01-25,4.67483,0.1116
2015-01-26,4.67092,0.11629
2015-01-27,4.66701,0.12239
2015-01-28,4.6631,0.1297
2015-01-29,4.65919,0.13802
2015-01-30,4.65528,0.14718
2015-01-31,4.65522,0.10544
2015-02-01,4.65516,0.14715
2015-02-02,4.65723,0.13736
2015-02-03,4.65929,0.12852
2015-02-04,4.66135,0.12085
2015-02-05,4.66342,0.11459
2015-02-06,4.66548,0.10997
2015-02-07,4.66754,0.1072
2015-02-08,4.66961,0.10643
2015-02-09,4.67167,0.10771
2015-02-10,4.67373,0.11095
2015-02-11,4.67579,0.11601
2015-02-12,4.67786,0.12264
2015-02-13,4.67992,0.13062
2015-02-14,4.68198,0.13972
2015-02-15,4.68405,0.14972
2015-02-16,4.68563,0.14447
2015-02-17,4.68722,0.13945
2015-02-18,4.6888,0.13466
2015-02-19,4.69039,0.13015
2015-02-20,4.69197,0.12594
2015-02-21,4.69356,0.12205
2015-02-22,4.69514,0.11853
2015-02-23,4.69673,0.11541
2015-02-24,4.69831,0.11271
2015-02-25,4.69989,0.11048
2015-02-26,4.70148,0.10873
2015-02-27,4.70306,0.10749
2015-02-28,4.70465,0.10679
2015-03-01,4.70623,0.10662
2015-03-02,4.70782,0.107
2015-03-03,4.7094,0.10792
2015-03-04,4.71099,0.10936
2015-03-05,4.71257,0.1113
2015-03-06,4.71416,0.11372
2015-03-07,4.71574,0.11659
2015-03-08,4.71733,0.11988
2015-03-09,4.71891,0.12355
2015-03-10,4.7205,0.12757
2015-03-11,4.72208,0.1319
2015-03-12,4.72367,0.13653
2015-03-13,4.72525,0.14141
2015-03-14,4.72683,0.14652
2015-03-15,4.72842,0.15185
2015-03-16,4.72735,0.14319
2015-03-17,4.72627,0.13516
2015-03-18,4.7252,0.12787
2015-03-19,4.72413,0.12145
2015-03-20,4.72305,0.11605
2015-03-21,4.72198,0.11181
2015-03-22,4.72091,0.10888
2015-03-23,4.71983,0.10736
2015-03-24,4.71876,0.10731
2015-03-25,4.71769,0.10873
2015-03-26,4.71661,0.11156
2015-03-27,4.71554,0.11571
2015-03-28,4.71447,0.12103
2015-03-29,4.71339,0.12738
2015-03-30,4.71232,0.13461
2015-03-31,4.71125,0.1426
2015-04-01,4.71017,0.15121
2015-04-02,4.70863,0.14371
2015-04-03,4.70709,0.13666
2015-04-04,4.70555,0.13016
2015-04-05,4.704,0.12427
2015-04-06,4.70246,0.11911
2015-04-07,4.70092,0.11475
2015-04-08,4.69937,0.1113
2015-04-09,4.69783,0.10885
2015-04-10,4.69629,0.10745
2015-04-11,4.69474,0.10717
2015-04-12,4.6932,0.10799
2015-04-13,4.69166,0.1099
2015-04-14,4.69012,0.11284
2015-04-15,4.68857,0.11673
2015-04-16,4.6878,0.11953
2015-04-17,4.68703,0.12364
2015-04-18,4.68626,0.12894
2015-04-19,4.68549,0.13529
2015-04-20,4.68472,0.14254
2015-04-21,4.68394,0.15057
2015-04-22,4.68364,0.13635
2015-04-23,4.68334,0.12415
2015-04-24,4.68304,0.11465
2015-04-25,4.68275,0.10853
2015-04-26,4.68245,0.10639
2015-04-27,4.68215,0.10847
2015-04-28,4.68185,0.11453
2015-04-29,4.68155,0.124
2015-04-30,4.68125,0.13616
2015-05-01,4.68095,0.15036
2015-05-02,4.68218,0.14003
2015-05-03,4.68342,0.13065
2015-05-04,4.68466,0.12245
2015-05-05,4.68589,0.11566
2015-05-06,4.68713,0.11055
2015-05-07,4.68836,0.10736
2015-05-08,4.6896,0.10627
2015-05-09,4.69084,0.10734
2015-05-10,4.69207,0.1105
2015-05-11,4.69331,0.11558
2015-05-12,4.69455,0.12235
2015-05-13,4.69578,0.13054
2015-05-14,4.69702,0.1399
2015-05-15,4.69826,0.15022
2015-05-16,4.70157,0.14166
2015-05-17,4.70489,0.13373
2015-05-18,4.70821,0.12655
