Fjord number,Glacier numbers,First discharge date,Last discharge date,Cumulative discharge (Gt),Cumulative error (Gt),Mean annual discharge rate (Gt/yr),Mean annual discharge rate error (Gt/yr),Mean hydroyear discharge rate (Gt/yr),Mean hydroyear discharge rate error (Gt/yr),Mean winter discharge rate (Gt/yr),Mean winter discharge rate error (Gt/yr),Mean spring discharge rate (Gt/yr),Mean spring discharge rate error (Gt/yr),Mean summer discharge rate (Gt/yr),Mean summer discharge rate error (Gt/yr),Mean autumn discharge rate (Gt/yr),Mean autumn discharge rate error (Gt/yr)
1,[132],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,[133],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,"[134, 135]",2015-01-01 00:00:00,2019-12-26 00:00:00,2.583,0.331,0.516,0.067,0.508,0.066,0.526,0.069,0.53,0.068,0.501,0.065,0.499,0.065
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,"[136, 137, 138]",2015-01-01 00:00:00,2019-12-26 00:00:00,0.527,0.168,0.105,0.034,0.105,0.034,0.104,0.034,0.102,0.033,0.106,0.034,0.109,0.035
9,[139],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,[140],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,[141],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,[142],2015-01-30 00:00:00,2019-12-26 00:00:00,1.594,0.323,0.319,0.067,0.326,0.069,0.379,0.082,0.325,0.067,0.286,0.059,0.302,0.063
13,"[143, 144, 145]",2015-01-30 00:00:00,2019-12-26 00:00:00,2.798,0.313,0.559,0.063,0.556,0.063,0.577,0.067,0.581,0.065,0.533,0.059,0.543,0.062
14,[146],2015-01-01 00:00:00,2019-12-26 00:00:00,0.15,0.024,0.03,0.005,0.029,0.005,0.034,0.006,0.031,0.005,0.025,0.004,0.028,0.005
15,[147],2015-03-15 00:00:00,2019-12-26 00:00:00,19.306,1.058,3.859,0.213,3.831,0.212,3.805,0.208,3.908,0.218,3.975,0.22,3.729,0.205
16,[148],2015-01-01 00:00:00,2019-12-26 00:00:00,0.912,0.144,0.182,0.029,0.181,0.029,0.184,0.03,0.189,0.03,0.18,0.029,0.175,0.028
17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,"[149, 150, 151, 152, 153, 154, 800, 801, 802]",2015-06-01 00:00:00,2019-12-26 00:00:00,140.908,6.12,28.167,1.236,28.333,1.242,28.467,1.251,28.12,1.231,28.056,1.231,28.225,1.242
19,"[155, 156, 157]",2015-02-01 00:00:00,2019-12-26 00:00:00,9.305,0.516,1.86,0.104,1.859,0.104,1.856,0.103,1.856,0.104,1.903,0.106,1.835,0.104
20,"[158, 159]",2015-02-01 00:00:00,2019-12-26 00:00:00,15.609,1.624,3.12,0.327,3.121,0.327,3.14,0.333,3.152,0.33,3.14,0.327,3.06,0.32
21,"[160, 161]",2015-02-01 00:00:00,2019-12-26 00:00:00,62.747,2.445,12.543,0.493,12.621,0.496,12.746,0.5,12.476,0.488,12.546,0.494,12.513,0.494
22,[162],2015-02-15 00:00:00,2019-12-26 00:00:00,3.97,0.193,0.794,0.039,0.797,0.039,0.775,0.037,0.795,0.039,0.807,0.04,0.798,0.039
23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,"[163, 164, 210, 803]",2015-02-01 00:00:00,2019-12-26 00:00:00,7.283,2.278,1.456,0.459,1.461,0.461,1.488,0.47,1.456,0.459,1.443,0.455,1.443,0.455
25,"[165, 166]",2015-01-01 00:00:00,2019-12-26 00:00:00,27.381,0.872,5.474,0.179,5.722,0.188,5.941,0.198,5.342,0.174,5.372,0.174,5.613,0.184
26,[167],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,[168],2015-01-01 00:00:00,2019-12-26 00:00:00,0.464,0.162,0.093,0.033,0.094,0.034,0.102,0.036,0.096,0.034,0.078,0.028,0.095,0.034
