Date,Discharge (Gt/yr),Error (Gt/yr)
2015-01-15,0.664,0.082
2015-02-15,0.627,0.075
2015-03-15,0.616,0.066
2015-04-15,0.6,0.065
2015-05-15,0.59,0.063
2015-06-15,0.593,0.064
2015-07-15,0.573,0.061
2015-08-15,0.552,0.06
2015-09-15,0.552,0.059
2015-10-15,0.552,0.061
2015-11-15,0.555,0.058
2015-12-15,0.559,0.059
2016-01-15,0.558,0.062
2016-02-15,0.536,0.059
2016-03-15,0.547,0.061
2016-04-15,0.556,0.063
2016-05-15,0.563,0.063
2016-06-15,0.552,0.06
2016-07-15,0.523,0.057
2016-08-15,0.524,0.059
2016-09-15,0.537,0.06
2016-10-15,0.563,0.063
2016-11-15,0.565,0.063
2016-12-15,0.564,0.063
2017-01-15,0.557,0.062
2017-02-15,0.554,0.061
2017-03-15,0.571,0.064
2017-04-15,0.567,0.064
2017-05-15,0.567,0.064
2017-06-15,0.554,0.063
2017-07-15,0.525,0.059
2017-08-15,0.529,0.06
2017-09-15,0.535,0.061
2017-10-15,0.519,0.059
2017-11-15,0.546,0.062
2017-12-15,0.572,0.065
2018-01-15,0.59,0.067
2018-02-15,0.588,0.067
2018-03-15,0.588,0.067
2018-04-15,0.575,0.064
2018-05-15,0.568,0.063
2018-06-15,0.566,0.064
2018-07-15,0.534,0.06
2018-08-15,0.501,0.056
2018-09-15,0.544,0.063
2018-10-15,0.564,0.067
2018-11-15,0.584,0.069
2018-12-15,0.601,0.07
2019-01-15,0.602,0.07
2019-02-15,0.606,0.07
2019-03-15,0.605,0.069
2019-04-15,0.606,0.069
2019-05-15,0.593,0.067
2019-06-15,0.55,0.063
2019-07-15,0.475,0.054
2019-08-15,0.454,0.05
2019-09-15,0.492,0.057
2019-10-15,0.509,0.06
2019-11-15,0.528,0.062
2019-12-15,0.522,0.061
