Date,Discharge (Gt/yr),Error (Gt/yr),Coverage
2015-01-01,0.72986,0.03171,0.97652
2015-01-02,0.72957,0.03184,0.97622
2015-01-03,0.72928,0.03196,0.97592
2015-01-04,0.72899,0.0321,0.97561
2015-01-05,0.7287,0.03224,0.97531
2015-01-06,0.72841,0.03239,0.97501
2015-01-07,0.72812,0.03255,0.97471
2015-01-08,0.72783,0.03271,0.97441
2015-01-09,0.72754,0.03289,0.97411
2015-01-10,0.72726,0.03306,0.97381
2015-01-11,0.72697,0.03325,0.97351
2015-01-12,0.72668,0.03344,0.97321
2015-01-13,0.72639,0.03364,0.97291
2015-01-14,0.7261,0.03384,0.9726
2015-01-15,0.72581,0.03405,0.9723
2015-01-16,0.72552,0.03426,0.972
2015-01-17,0.72523,0.03449,0.9717
2015-01-18,0.72494,0.03471,0.9714
2015-01-19,0.72465,0.03495,0.9711
2015-01-20,0.72436,0.03519,0.9708
2015-01-21,0.72408,0.03543,0.9705
2015-01-22,0.72379,0.03568,0.9702
2015-01-23,0.7235,0.03593,0.9699
2015-01-24,0.72321,0.03619,0.96959
2015-01-25,0.72292,0.03646,0.96929
2015-01-26,0.72263,0.03673,0.96899
2015-01-27,0.72234,0.037,0.96869
2015-01-28,0.72205,0.03728,0.96839
2015-01-29,0.72176,0.03757,0.96809
2015-01-30,0.72147,0.03786,0.96779
2015-01-31,0.72118,0.03815,0.96749
2015-02-01,0.7209,0.03845,0.96719
2015-02-02,0.72061,0.03875,0.96688
2015-02-03,0.72032,0.03906,0.96658
2015-02-04,0.72003,0.03937,0.96628
2015-02-05,0.71974,0.03968,0.96598
2015-02-06,0.71945,0.04,0.96568
2015-02-07,0.71916,0.04032,0.96538
2015-02-08,0.71887,0.04064,0.96508
2015-02-09,0.71858,0.04097,0.96478
2015-02-10,0.71829,0.0413,0.96448
2015-02-11,0.718,0.04164,0.96418
2015-02-12,0.71772,0.04198,0.96387
2015-02-13,0.71743,0.04232,0.96357
2015-02-14,0.71714,0.04266,0.96327
2015-02-15,0.71685,0.04301,0.96297
2015-02-16,0.71856,0.04151,0.96429
2015-02-17,0.72027,0.04008,0.96562
2015-02-18,0.72198,0.03872,0.96694
