pointID,Fjord number,First observation date,Last observation date,Cumulative discharge (Gt),Cumulative error (Gt),Mean annual discharge rate (Gt/yr),Mean annual discharge rate error (Gt/yr),Mean hydroyear discharge rate (Gt/yr),Mean hydroyear discharge rate error (Gt/yr),Mean winter discharge rate (Gt/yr),Mean winter discharge rate error (Gt/yr),Mean spring discharge rate (Gt/yr),Mean spring discharge rate error (Gt/yr),Mean summer discharge rate (Gt/yr),Mean summer discharge rate error (Gt/yr),Mean autumn discharge rate (Gt/yr),Mean autumn discharge rate error (Gt/yr)
132,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134,5,2015-01-01 00:00:00,2019-12-26 00:00:00,2.363,0.325,0.472,0.066,0.465,0.065,0.479,0.067,0.484,0.067,0.46,0.064,0.458,0.064
135,5,2015-01-01 00:00:00,2019-12-26 00:00:00,0.22,0.066,0.044,0.014,0.043,0.013,0.047,0.015,0.045,0.014,0.041,0.012,0.041,0.013
136,8,2015-01-01 00:00:00,2019-12-26 00:00:00,0.527,0.168,0.105,0.034,0.105,0.034,0.104,0.034,0.102,0.033,0.106,0.034,0.109,0.035
137,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
141,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
142,12,2015-01-30 00:00:00,2019-12-26 00:00:00,1.594,0.323,0.319,0.067,0.326,0.069,0.379,0.082,0.325,0.067,0.286,0.059,0.302,0.063
143,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
144,13,2015-01-30 00:00:00,2019-12-26 00:00:00,2.126,0.263,0.425,0.053,0.422,0.053,0.436,0.056,0.442,0.054,0.412,0.051,0.408,0.051
145,13,2015-01-30 00:00:00,2019-12-26 00:00:00,0.672,0.168,0.134,0.034,0.134,0.034,0.142,0.036,0.139,0.035,0.121,0.031,0.135,0.034
146,14,2015-01-01 00:00:00,2019-12-26 00:00:00,0.15,0.024,0.03,0.005,0.029,0.005,0.034,0.006,0.031,0.005,0.025,0.004,0.028,0.005
147,15,2015-03-15 00:00:00,2019-12-26 00:00:00,19.306,1.058,3.859,0.213,3.831,0.212,3.805,0.208,3.908,0.218,3.975,0.22,3.729,0.205
148,16,2015-01-01 00:00:00,2019-12-26 00:00:00,0.912,0.144,0.182,0.029,0.181,0.029,0.184,0.03,0.189,0.03,0.18,0.029,0.175,0.028
149,18,2015-01-01 00:00:00,2019-12-26 00:00:00,1.123,0.511,0.224,0.103,0.225,0.103,0.222,0.102,0.231,0.106,0.225,0.103,0.221,0.101
150,18,2015-01-01 00:00:00,2019-12-26 00:00:00,0.1,0.034,0.02,0.007,0.02,0.007,0.025,0.01,0.021,0.007,0.019,0.007,0.016,0.006
151,18,2015-01-01 00:00:00,2019-12-26 00:00:00,0.152,0.038,0.03,0.008,0.03,0.008,0.033,0.008,0.034,0.009,0.026,0.007,0.029,0.008
152,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153,18,2015-01-01 00:00:00,2019-12-29 00:00:00,134.332,6.086,26.853,1.229,27.02,1.236,27.134,1.244,26.746,1.224,26.763,1.224,26.969,1.236
154,18,2015-01-01 00:00:00,2019-12-26 00:00:00,0.08,0.03,0.016,0.006,0.015,0.006,0.014,0.005,0.019,0.007,0.017,0.007,0.012,0.005
155,19,2015-02-01 00:00:00,2019-12-26 00:00:00,8.191,0.451,1.637,0.091,1.634,0.091,1.629,0.09,1.636,0.091,1.682,0.094,1.609,0.09
156,19,2015-01-01 00:00:00,2019-12-26 00:00:00,1.114,0.246,0.223,0.05,0.225,0.051,0.227,0.051,0.22,0.05,0.221,0.05,0.226,0.051
